brand,region,month,trx,nrx,sales_usd
Cardiflow,West,2025-07,10382,3501,4380521.88
Cardiflow,West,2025-08,10293,3435,4374523.5
Cardiflow,West,2025-09,10102,3436,4178461.53
Cardiflow,West,2025-10,10170,3659,4676215.04
Cardiflow,West,2025-11,10055,2986,4255879.51
Cardiflow,West,2025-12,10845,3800,4923234.29
Cardiflow,West,2026-01,10811,3163,4883190.84
Cardiflow,West,2026-02,11363,3737,5219726.47
Cardiflow,West,2026-03,11590,3252,5225411.85
Cardiflow,West,2026-04,11477,3822,5244374.98
Cardiflow,West,2026-05,11347,3281,4712996.86
Cardiflow,West,2026-06,11493,3468,5059695.46
Neurazil,Midwest,2025-01,3595,1093,1572441.71
Neurazil,Midwest,2025-02,3576,1083,1543024.0
Neurazil,Midwest,2025-03,3798,1262,1645481.26
Neurazil,Midwest,2025-04,3819,1134,1656144.9
Neurazil,Midwest,2025-05,3928,1349,1643807.39
Neurazil,Midwest,2025-06,3701,1188,1634535.71
Neurazil,Midwest,2025-07,3693,1275,1652827.66
Neurazil,Midwest,2025-08,3702,1103,1554678.95
Neurazil,Midwest,2025-09,3518,1053,1525956.48
Neurazil,Midwest,2025-10,3698,1056,1592810.14
Neurazil,Midwest,2025-11,3703,1094,1647159.99
Neurazil,Midwest,2025-12,3771,1129,1669809.74
Neurazil,Midwest,2026-01,3781,1285,1695787.23
Neurazil,Midwest,2026-02,3929,1233,1645442.94
Neurazil,Midwest,2026-03,4239,1362,1748633.79
Neurazil,Midwest,2026-04,4120,1433,1783231.14
Neurazil,Midwest,2026-05,4262,1420,1957939.88
Neurazil,Midwest,2026-06,4167,1483,1894198.59
Neurazil,Northeast,2025-01,3931,1300,1663596.04
Neurazil,Northeast,2025-02,4124,1453,1865306.59
Neurazil,Northeast,2025-03,4123,1294,1747467.63
Neurazil,Northeast,2025-04,4152,1418,1834584.74
Neurazil,Northeast,2025-05,4216,1430,1844854.23
Neurazil,Northeast,2025-06,4209,1181,1741525.07
Neurazil,Northeast,2025-07,4245,1495,1856251.54
Neurazil,Northeast,2025-08,4152,1356,1733064.27
Neurazil,Northeast,2025-09,3928,1196,1787039.96
Neurazil,Northeast,2025-10,4085,1425,1858455.36
Neurazil,Northeast,2025-11,3995,1198,1658483.03
Neurazil,Northeast,2025-12,4239,1486,1824121.69
Neurazil,Northeast,2026-01,4333,1266,1977988.72
Neurazil,Northeast,2026-02,4533,1623,2042291.41
Neurazil,Northeast,2026-03,4646,1310,2075963.93
Neurazil,Northeast,2026-04,4553,1613,2049358.83
Neurazil,Northeast,2026-05,4697,1619,1988429.32
Neurazil,Northeast,2026-06,4622,1334,2096577.74
Neurazil,Southeast,2025-01,3848,1328,1666242.34
Neurazil,Southeast,2025-02,3992,1371,1682148.06
Neurazil,Southeast,2025-03,4022,1188,1715033.48
Neurazil,Southeast,2025-04,4288,1532,1817924.4
Neurazil,Southeast,2025-05,4234,1320,1943649.39
Neurazil,Southeast,2025-06,4163,1478,1730838.39
Neurazil,Southeast,2025-07,4196,1234,1922299.7
Neurazil,Southeast,2025-08,3951,1140,1705758.07
Neurazil,Southeast,2025-09,4014,1224,1767406.12
Neurazil,Southeast,2025-10,3962,1231,1738642.09
Neurazil,Southeast,2025-11,3956,1331,1622294.53
Neurazil,Southeast,2025-12,4226,1365,1884675.56
Neurazil,Southeast,2026-01,4318,1440,1849015.42
Neurazil,Southeast,2026-02,4279,1425,1825036.3
Neurazil,Southeast,2026-03,4452,1548,1985537.3
Neurazil,Southeast,2026-04,4509,1374,1940762.18
Neurazil,Southeast,2026-05,4539,1378,1889877.97
Neurazil,Southeast,2026-06,4496,1597,1995621.07
Neurazil,Southwest,2025-01,6095,1952,2752065.95
Neurazil,Southwest,2025-02,6216,2186,2779688.11
Neurazil,Southwest,2025-03,6333,1904,2674818.46
Neurazil,Southwest,2025-04,6470,2207,2821340.49
Neurazil,Southwest,2025-05,6459,1950,2673213.25
Neurazil,Southwest,2025-06,6249,1885,2661983.25
Neurazil,Southwest,2025-07,6224,1811,2623808.57
Neurazil,Southwest,2025-08,6157,2071,2544142.85
Neurazil,Southwest,2025-09,5970,1930,2571808.61
Neurazil,Southwest,2025-10,5887,1846,2680009.21
Neurazil,Southwest,2025-11,6097,2046,2760944.76
Neurazil,Southwest,2025-12,6315,1960,2591011.69
Neurazil,Southwest,2026-01,6352,2161,2875375.07
Neurazil,Southwest,2026-02,6783,2126,3034549.94
Neurazil,Southwest,2026-03,6776,2224,2852878.51
Neurazil,Southwest,2026-04,6721,2116,2765363.79
Neurazil,Southwest,2026-05,6762,2260,2909119.47
Neurazil,Southwest,2026-06,6609,2097,2751864.61
Neurazil,West,2025-01,3321,1034,1455327.29
Neurazil,West,2025-02,3423,1134,1426654.97
Neurazil,West,2025-03,3597,1021,1542951.83
Neurazil,West,2025-04,3584,1097,1605852.36
Neurazil,West,2025-05,3617,1230,1633423.51
Neurazil,West,2025-06,3545,1015,1456885.69
Neurazil,West,2025-07,3538,1273,1512487.98
Neurazil,West,2025-08,3491,1195,1545073.78
Neurazil,West,2025-09,3465,1233,1455189.24
Neurazil,West,2025-10,3309,966,1377573.26
Neurazil,West,2025-11,3485,1133,1466830.32
Neurazil,West,2025-12,3577,1221,1496579.09
Neurazil,West,2026-01,3668,1246,1524885.33
Neurazil,West,2026-02,3828,1367,1590170.1
Neurazil,West,2026-03,3734,1138,1657400.74
Neurazil,West,2026-04,3996,1245,1781219.94
Neurazil,West,2026-05,3786,1269,1670996.99
Neurazil,West,2026-06,3745,1280,1694667.41
